scenario_id,checkpoint_year,checkpoint_day,status,fail_day,failure_reason,trait_case,state_case,npp_rate,initial_storage,allometric_adjustment_days,max_allocation_fraction,leaf,root,sapwood,heartwood,height,storage,cumulative_npp,cumulative_structural_allocation,cumulative_unmet_storage_deficit,cumulative_starvation_carbon_loss,cumulative_sapwood_to_heartwood,cumulative_unpaid_carbon_deficit,leaf_root_residual,pipe_residual,storage_fraction,structural_fraction_of_positive_npp,max_abs_structural_balance_error,max_abs_storage_balance_error,max_abs_whole_plant_balance_error,max_storage_fraction,min_living_pool,days_with_allocation,days_with_unmet_storage_deficit
1,1,365,PASS,0,OK,1,1,-0.50000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,0.63132449686251502,0.47557768139915890,9.3497044921399262,20.515226441766341,13.124238526954461,0.0000000000000000,-0.49999999999999828,0.0000000000000000,0.49999999999999828,0.33333333333333237,0.16666666666666619,0.16666666666666619,0.15574681546335611,-15.220898638912162,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.64653143949655600E-14,0.0000000000000000,0.47557768139915890,0,365
1,5,1825,PASS,0,OK,1,1,-0.50000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,0.0000000000000000,0.0000000000000000,7.0506002948017521,22.243099715252278,13.073644093070666,0.0000000000000000,-2.5000000000000711,0.0000000000000000,2.5000000000000711,1.1366325432902991,0.83333333333335202,1.3633674567097569,0.0000000000000000,-17.257560923907931,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.79931720964321329E-14,0.0000000000000000,0.0000000000000000,0,1825
1,10,3650,PASS,0,OK,1,1,-0.50000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,0.0000000000000000,0.0000000000000000,4.7536448301619654,23.771410581413118,13.004303937022904,0.0000000000000000,-4.9999999999998375,0.0000000000000000,4.9999999999998375,1.1366325432902991,1.6666666666667156,3.8633674567098479,0.0000000000000000,-11.697406897120493,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.79931720964321329E-14,0.0000000000000000,0.0000000000000000,0,3650
2,1,365,PASS,0,OK,1,1,0.0000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,0.77873407731677691,0.62298726185342146,9.5122616657374692,20.353215983239409,13.124286577736623,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.15574681546335545,-13.848251624530329,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.72264243200503842E-14,0.0000000000000000,0.62298726185342146,0,0
2,5,1825,PASS,0,OK,1,1,0.0000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,0.28638211949840708,0.22910569559872582,7.7878744633776229,21.518489502116491,13.074774270710316,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.57276423899681267E-1,-15.623933521697037,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.72264243200503842E-14,0.0000000000000000,0.22910569559872582,0,0
2,10,3650,PASS,0,OK,1,1,0.0000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,0.82014718368400130E-1,0.65611774694719835E-1,6.0650988657329217,22.506242104109745,13.008521430503249,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.16402943673680295E-1,-13.935517730726158,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.81777033061891657E-14,0.0000000000000000,0.65611774694719835E-1,0,0
3,1,365,PASS,0,OK,1,1,0.50000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,0.97954105327400354,0.85415028307504481,9.5235648727234192,20.353498614661120,13.125304691531545,0.0000000000000000,0.49999999999999828,0.49999999999999828,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.12539077019895872,-11.464326511156287,0.0000000000000000,1.0000000000000000,0.43368086899420177E-18,0.0000000000000000,0.79799448299278097E-14,0.0000000000000000,0.80000000000000004,365,0
3,5,1825,PASS,0,OK,1,1,0.50000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,0.95920691669932390,0.94437082734844480,7.8457104139026033,21.525556797433005,13.080560348789598,0.0000000000000000,2.5000000000000711,2.5000000000000711,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.14836089350879100E-1,-7.6830933105889514,0.0000000000000000,1.0000000000000000,0.43368086899420177E-18,0.0000000000000000,0.79799448299278097E-14,0.0000000000000000,0.80000000000000004,1825,0
3,10,3650,PASS,0,OK,1,1,0.50000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,0.95816903454402980,0.95780721929759338,6.1931113301443590,22.535500137889692,13.022811042698915,0.0000000000000000,4.9999999999998375,4.9999999999998375,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.36181524643641438E-3,-3.7198505760238785,0.0000000000000000,1.0000000000000000,0.43368086899420177E-18,0.0000000000000000,0.79799448299278097E-14,0.0000000000000000,0.80000000000000004,3650,0
4,1,365,PASS,0,OK,1,1,3.5000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.9968739919123939,1.9962864207987747,9.8169453124163084,20.357670844547723,13.151344757906839,0.22102497561965986,3.4999999999999765,3.2789750243803226,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.58757111361917858E-3,0.75786141255985484E-1,0.64272369401573663E-2,0.93685000696581278,0.34694469519536142E-17,0.0000000000000000,0.11999082283331575E-13,0.64272369401573663E-2,0.80000000000000004,365,0
